1,2985.32,2168.13,10634,2203.27,2855.68,2174.9,1006,835.334,825.61
Type:ex_large#Total,1,CalcRepair,1,PostprocRepair,1,GreedyRepair,1
2,2985.32,2591.53,567.137,2679.19,2924.2,2598.77,393.793,393.793,393.793
Type:ex_large#Total,2,CalcRepair,2,PostprocRepair,2,GreedyRepair,2
3,2985.32,781.335,235.588,996.725,-15173.9,821.89,2558.06,117008,2203.98
Type:ex_large#Total,3,CalcRepair,3,PostprocRepair,3,GreedyRepair,2
4,2985.32,194.952,604.842,664.576,797.642,244.466,2985.32,14096.2,2792.23
Type:ex_large#Total,4,CalcRepair,3,PostprocRepair,4,GreedyRepair,2
6,2985.32,2318.98,565.311,2467.32,2881.52,2331.24,666.338,668.822,666.338
Type:ex_large#Total,5,CalcRepair,4,PostprocRepair,5,GreedyRepair,3
7,2985.32,2616.54,755.426,2635.24,1556.9,2623.33,450.327,9203.94,368.778
Type:ex_large#Total,6,CalcRepair,5,PostprocRepair,6,GreedyRepair,4
8,2985.32,1088.35,4312.65,1206.96,2664.2,1123.26,2287.62,2069.12,1896.97
Type:ex_large#Total,7,CalcRepair,6,PostprocRepair,7,GreedyRepair,5
9,2985.32,1714.61,438.147,1815.17,1293,1737.99,1505.23,10904.4,1270.71
Type:ex_large#Total,8,CalcRepair,7,PostprocRepair,8,GreedyRepair,6
10,2985.32,2985.32,625.634,2985.32,2985.32,2985.32,0,0,0
Type:ex_large#Total,9,CalcRepair,8,PostprocRepair,9,GreedyRepair,7
11,2985.32,781.335,226.274,996.725,-11738,821.89,2558.06,94869,2203.98
Type:ex_large#Total,10,CalcRepair,9,PostprocRepair,10,GreedyRepair,7
13,2985.32,2305.8,9915.97,2457.07,2877.62,2318.31,679.515,693.967,679.515
Type:ex_large#Total,11,CalcRepair,10,PostprocRepair,11,GreedyRepair,8
14,2985.32,30.5524,7.90366,664.576,2525.1,84.8624,2985.32,2965.43,2954.83
Type:ex_large#Total,12,CalcRepair,11,PostprocRepair,12,GreedyRepair,9
15,2985.32,781.335,2973.62,996.725,2621.32,821.89,2558.06,2345.43,2203.98
Type:ex_large#Total,13,CalcRepair,12,PostprocRepair,13,GreedyRepair,10
16,2985.32,114.643,557.663,667.336,2080.07,163.42,2981.77,5832.95,2874.8
Type:ex_large#Total,14,CalcRepair,12,PostprocRepair,14,GreedyRepair,10
19,2985.32,181.839,843.786,664.576,716.31,231.712,2985.32,14620.2,2805.23
Type:ex_large#Total,15,CalcRepair,13,PostprocRepair,15,GreedyRepair,11
20,2985.32,115.416,30.7557,677.06,-4021.58,168.225,2969.26,45148.6,2869.9
Type:ex_large#Total,16,CalcRepair,14,PostprocRepair,16,GreedyRepair,11
23,2985.32,1088.35,258.606,1206.96,-54638.4,1123.26,2287.62,371296,1896.97
Type:ex_large#Total,17,CalcRepair,15,PostprocRepair,17,GreedyRepair,11
24,2985.32,2591.53,731.387,2679.19,2924.2,2598.77,393.793,393.793,393.793
Type:ex_large#Total,18,CalcRepair,16,PostprocRepair,18,GreedyRepair,12
25,2985.32,2305.8,10789.5,2457.07,2879.86,2318.31,679.515,679.515,679.515
Type:ex_large#Total,19,CalcRepair,17,PostprocRepair,19,GreedyRepair,13
27,2985.32,114.682,478.477,669.538,-1690.25,164.658,2978.94,30126.8,2873.54
